area,model,MAE,RMSE,MAPE_percent,sMAPE_percent
4159,sarima,14.0194,19.0394,6.1084,6.0954
4159,naive_last,15.9525,21.5444,6.9823,6.9425
4159,lstm,24.0763,32.2951,9.8308,9.2424
4159,naive_d144,51.1873,84.6429,21.8043,20.4862
4159,cnn,63.7477,85.1662,24.1746,20.9755
4159,naive_w1008,73.4075,97.3817,27.9573,23.4513
4556,sarima,25.1773,34.2343,5.7064,5.7044
4556,naive_last,28.8616,39.621,6.5998,6.5533
4556,lstm,30.5678,39.9557,7.4321,7.13
4556,cnn,63.8682,76.0956,15.6423,14.0795
4556,naive_d144,76.3384,108.3514,17.4582,15.8698
4556,naive_w1008,96.3943,125.8634,21.6881,18.6676
5161,sarima,83.2571,127.9885,7.7026,7.6776
5161,naive_last,92.8019,134.8777,9.1943,9.0965
5161,lstm,109.4997,152.3954,14.4067,13.0503
5161,cnn,164.5729,247.5877,19.4028,18.8624
5161,naive_w1008,300.7502,432.9547,28.9689,24.1192
5161,naive_d144,338.5937,619.04,25.9398,22.8281
