model,area,train_seconds,train_steps,predict_seconds_total,predict_seconds_per_step_mean,test_steps
sarima,5161,9.43,5616,25.485,0.0253,1008.0
sarima,4159,9.0,5616,26.359,0.0262,1008.0
sarima,4556,8.82,5616,25.648,0.0254,1008.0
naive_last,5161,,,0.055,0.0001,1008.0
naive_last,4159,,,0.054,0.0001,1008.0
naive_last,4556,,,0.052,0.0001,1008.0
naive_d144,5161,,,0.141,0.0001,1008.0
naive_d144,4159,,,0.152,0.0002,1008.0
naive_d144,4556,,,0.139,0.0001,1008.0
naive_w1008,5161,,,0.148,0.0001,1008.0
naive_w1008,4159,,,0.139,0.0001,1008.0
naive_w1008,4556,,,0.151,0.0002,1008.0
lstm,5161,22.07,5616,2.063,0.002,1008.0
lstm,4159,19.74,5616,2.02,0.002,1008.0
lstm,4556,20.71,5616,2.598,0.0026,1008.0
cnn,5161,24.12,5616,1.982,0.002,1008.0
cnn,4159,25.93,5616,1.968,0.002,1008.0
cnn,4556,27.73,5616,2.02,0.002,1008.0
